CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
0;0;0;0;0;0;0;0;
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
69520.98840725284;187500.0;-22954.012209655313;-19926.267257483873;-69491.32764236064;-60527.20523204866;-66801.47401112008;-54327.814796902516;
69341.23567834326;187500.0;-22584.31435636453;-19094.469439324075;-69230.52748805613;-60038.55139476674;-66534.90710674609;-53865.26779714439;
69336.20653584081;187500.0;-22160.212357069537;-18437.819890716066;-69212.51198202514;-60027.59903998364;-66557.54942387932;-53796.20090677749;
69466.60661299308;187500.0;-22309.87963794227;-18948.579603264287;-69384.44160037537;-60384.198771023606;-66745.66170521519;-54125.509157837536;
69541.2614394738;187500.0;-22919.881095872057;-19907.26827469686;-69514.21582868288;-60580.625901296844;-66832.20765974613;-54369.99253868968;
69364.10151292104;187500.0;-22694.3072908291;-19304.665244181782;-69269.93361353083;-60115.57550615973;-66570.84871183023;-53945.130580083205;
69319.01804435469;187500.0;-22188.532017294412;-18464.574928829068;-69192.79774341556;-59994.49610644533;-66533.56600207878;-53768.93177854202;
69433.6377899215;187500.0;-22219.533886853922;-18773.29722324577;-69349.50582379173;-60317.27764812442;-66714.90570484468;-54056.151694792716;
69542.96017205241;187500.0;-22843.90751646847;-19819.649436432057;-69527.80568931172;-60607.269180687574;-66856.2804885245;-54383.113012684946;
69407.66506286444;187500.0;-22811.363376541543;-19518.124403729966;-69316.35818676451;-60196.37706236566;-66615.73101469649;-54031.0059822805;
69318.90628563242;187500.0;-22246.512442411477;-18532.81480465112;-69183.8793973779;-59961.01319325128;-66515.5504960478;-53748.52463585432;
69420.24909499277;187500.0;-22169.600089740765;-18636.83982334612;-69316.02291059768;-60238.152472752634;-66675.65604158117;-53978.65819676616;
69545.8211953427;187500.0;-22734.316913404098;-19666.22706249083;-69517.36742465108;-60589.74541303461;-66849.01617157653;-54347.19375934527;
69436.40940623396;187500.0;-22885.772333833258;-19691.931568614433;-69372.46106534732;-60296.378767058704;-66666.93886124359;-54118.37895135629;
69313.78773615214;187500.0;-22324.5200305605;-18650.250870019303;-69182.31477526603;-59958.33098391664;-66504.91106568708;-53748.27876666532;
69392.04119349018;187500.0;-22140.498118459956;-18541.48728149978;-69273.57694787705;-60172.930082432045;-66634.97586667251;-53910.7759488554;
69531.65018935803;187500.0;-22605.52616185262;-19483.03216493513;-69485.44913356891;-60555.43548529572;-66830.44187193416;-54299.94217156675;
69484.59976727961;187500.0;-22949.40775029752;-19839.16250934154;-69416.82927809111;-60392.11128856079;-66719.06312931336;-54204.61198146486;
69326.23765781375;187500.0;-22412.787069414506;-18795.604264212165;-69182.51594096613;-59963.98597526384;-66500.44071679602;-53765.02022326234;
69379.34540263956;187500.0;-22116.738214103963;-18459.61284155999;-69239.62464804943;-60102.49973565337;-66596.88849412066;-53847.16288413559;
69517.07685197316;187500.0;-22464.419599106266;-19263.001592517092;-69446.66885693895;-60497.54446715647;-66800.33407215287;-54234.09393240142;
69515.35576765011;187500.0;-22960.963602180913;-19916.231324223438;-69467.23246183783;-60485.96626352862;-66774.20488288462;-54289.012168528105;
69342.44267254385;187500.0;-22509.950102561725;-18969.41142909663;-69207.95222615627;-60004.12970830557;-66523.77593800735;-53818.12796808815;
69365.46496933281;187500.0;-22132.09386254476;-18435.048274403605;-69223.12906064143;-60056.2763281198;-66583.23157825846;-53812.56238371878;
69502.68232854395;187500.0;-22370.162292738234;-19075.515160025974;-69415.30935946816;-60435.13839663725;-66784.75490626752;-54176.247617751076;
69543.921297064;187500.0;-22964.316363849208;-19947.724932160967;-69509.03022396925;-60565.42671506724;-66834.66635163622;-54359.129590884404;
69357.865376218;187500.0;-22637.086825023514;-19181.417725255218;-69245.30199114108;-60076.34819464066;-66560.52220589187;-53896.02379751489;
69330.618599727;187500.0;-22164.39213328268;-18441.530280295647;-69201.5372754976;-60026.190880082955;-66557.19179596804;-53783.30395022678;
69450.80392966318;187500.0;-22276.821407892872;-18893.12492527067;-69372.81869325861;-60380.13075353274;-66741.43722551313;-54103.895020949254;
69543.49661391934;187500.0;-22913.890828358035;-19906.016577007365;-69522.55302936472;-60612.36537842338;-66848.23386052059;-54380.67667253932;
69382.54170209667;187500.0;-22741.02243674069;-19387.925492277802;-69281.08713401403;-60153.81934092276;-66586.87491260469;-53967.75054547197;
69335.73714920726;187500.0;-22211.62136931674;-18492.13462974246;-69184.77346715612;-59991.83624885515;-66526.52520257536;-53751.72093531143;
69439.11396731305;187500.0;-22200.33373836681;-18727.207926178926;-69328.60694272601;-60292.35545305675;-66693.02334702294;-54016.32088617336;
69548.59281165515;187500.0;-22805.373109027518;-19770.81087479721;-69515.17695369446;-60603.11175621889;-66845.61870641932;-54359.93425368479;
69421.43373744891;187500.0;-22835.436205319907;-19574.96488987981;-69327.44465201434;-60228.54122263685;-66626.68336947958;-54047.680383644154;
69327.44465201434;187500.0;-22266.383143232244;-18560.598023009064;-69172.41295247232;-59950.70903905738;-66499.43488829552;-53730.218557145425;
69412.85066757807;187500.0;-22129.389301465668;-18576.311299361147;-69290.56427366308;-60210.07868171677;-66647.47049182303;-53938.3803532577;
69545.53062266477;187500.0;-22674.1013138415;-19593.427430799893;-69499.97776746485;-60585.23036065464;-66836.18627025918;-54327.41246550232;
69464.23732808082;187500.0;-22900.077450284654;-19735.942153446933;-69383.03344047468;-60334.80141577738;-66679.81346604985;-54147.39151565928;
69334.50780326221;187500.0;-22353.979629752594;-18689.858161194108;-69178.96201359773;-59962.287242685234;-66495.72449871594;-53753.46437137895;
69407.44154541988;187500.0;-22129.746929376954;-18498.504876912222;-69259.58475584803;-60144.118683829154;-66611.97592162799;-53885.33966366526;
69538.2663057168;187500.0;-22565.114207877425;-19406.432736686795;-69475.88258694203;-60540.54922348848;-66818.43898516166;-54281.189057968746;
69507.06327045719;187500.0;-22971.088942419166;-19870.67846902352;-69440.45507198037;-60428.522280278485;-66739.17969932314;-54237.267880114065;
69343.42614929988;187500.0;-22450.986200688625;-18839.994828700404;-69191.74721142616;-59973.418411423976;-66506.05100465429;-53778.99006354691;
69386.56501609863;187500.0;-22134.910182346128;-18443.69839950781;-69235.02018869165;-60085.35594765615;-66591.07704056228;-53836.769322963875;
69526.06225324419;187500.0;-22454.49542456811;-19204.395318555275;-69438.39871149049;-60474.0751354784;-66792.39920287124;-54216.70427521518;
69545.4188639425;187500.0;-22986.80221877125;-19935.699693644012;-69479.23534861032;-60502.88653408129;-66784.97842371208;-54307.16178502581;
69362.78275999818;187500.0;-22565.4271322998;-19034.47735720603;-69213.45075529227;-60010.54465896424;-66519.81967923876;-53827.91803215958;
69372.05873394712;187500.0;-22150.399941253658;-18430.063835390072;-69208.95805465676;-60032.38231329707;-66558.66701110208;-53787.23785725092;
69510.72895654786;187500.0;-22349.889260517273;-19016.126575008224;-69389.29192892218;-60401.8566491433;-66750.71319946209;-54135.92507075371;
69570.7210386659;187500.0;-22958.124930635087;-19938.068978556275;-69497.98846220833;-60562.14100863231;-66816.33792118287;-54346.45615177824;
69390.32010916712;187500.0;-22678.63871796593;-19243.62263007434;-69240.40695910537;-60074.783572528795;-66546.37355165166;-53896.35907368173;
69356.18899538387;187500.0;-22182.92172943613;-18446.22414663126;-69188.43915324679;-59990.27162674328;-66533.29778114532;-53757.62179584763;
69482.00696492278;187500.0;-22256.570727416365;-18828.684846006017;-69353.03739941567;-60328.051188951875;-66714.90570484468;-54066.277035030966;
69586.21079757343;187500.0;-22885.772333833258;-19860.106093896164;-69515.26636067228;-60588.4490118562;-66839.85195634986;-54368.47262006672;
69438.42106323494;187500.0;-22777.522835436208;-19447.157615084365;-69287.68089862834;-60155.96510839047;-66591.09939230674;-53987.129507914724;
69370.56116706862;187500.0;-22229.63687534772;-18508.33964447256;-69169.17194952631;-59959.51562637278;-66509.56022853378;-53739.874510750116;
69469.51233977226;187500.0;-22186.050973659872;-18681.565664001188;-69309.27268377217;-60254.53630143837;-66680.2828526834;-53993.45505159558;
69589.92118715301;187500.0;-22775.26530924622;-19723.425176551962;-69507.33149139065;-60590.013633968076;-66847.56330818693;-54356.268567594125;
69477.4472090539;187500.0;-22877.01045000678;-19639.628486589016;-69337.19001259685;-60248.3225164798;-66644.6765237661;-54083.42082302819;
69361.68752451988;187500.0;-22296.625053480275;-18593.63390131401;-69165.7744843691;-59937.968544717856;-66503.68171974203;-53736.20882465945;
69445.52891797172;187500.0;-22148.14241506367;-18554.495996772766;-69277.13087524544;-60178.96505343498;-66650.15270115765;-53925.0810653068;
69578.20887305842;187500.0;-22655.48231071023;-19535.022322538178;-69489.07011617067;-60560.8446074539;-66844.05408430744;-54314.873136862894;
69510.52779084776;187500.0;-22937.67308445848;-19781.897340047042;-69395.70687958084;-60353.97921252003;-66710.07772804234;-54175.420603206236;
69359.42999832988;187500.0;-22383.90861557825;-18726.55972558972;-69173.39642922836;-59953.5030071143;-66507.950902933;-53752.68206032301;
69419.13150777001;187500.0;-22125.634208397176;-18466.832455019052;-69238.8423369935;-60116.53663117131;-66612.64647396165;-53860.05984068631;
69557.98054432638;187500.0;-22528.926733604283;-19329.095700871432;-69445.81949064965;-60506.10518528285;-66812.73929032557;-54248.26493838608;
69542.15550925201;187500.0;-22983.337698380674;-19888.626919821134;-69432.9895893323;-60441.374533340284;-66754.5576995084;-54249.67309828677;
69367.6777920339;187500.0;-22495.175599476766;-18896.991777061437;-69173.55289143955;-59972.61374862358;-66503.81583020877;-53782.7451566154;
69395.84099004758;187500.0;-22137.43592946958;-18425.369969054456;-69199.39150802989;-60056.43279033098;-66571.87689207518;-53804.49340397041;
69518.14973570702;187500.0;-22408.20496180117;-19122.45382338212;-69396.8244668036;-60441.06160891791;-66770.09216190483;-54172.112545026845;
69551.29737273423;187500.0;-22982.868311747112;-19931.877545342155;-69464.03616238073;-60514.10710979785;-66784.64314754524;-54301.70795937872;
69370.8293880021;187500.0;-22596.47370534822;-19083.87471245226;-69197.11163009545;-60016.7137404339;-66510.3425395897;-53822.307744301295;
69361.0169721862;187500.0;-22142.062740571826;-18400.917160620353;-69175.40808622933;-60003.0121210828;-66533.25307765641;-53749.26224342135;
69481.02348816676;187500.0;-22297.496771514034;-18919.1647075611;-69355.25022211674;-60364.64099462522;-66728.49556547351;-54087.265323074505;
69551.94557332344;187500.0;-22929.58175296566;-19895.75712630238;-69487.52784580324;-60563.54916853299;-66816.89671479425;-54334.095637094455;
69377.13257993848;187500.0;-22713.485087571753;-19298.07147956747;-69236.67421778134;-60092.79907855977;-66551.04506624283;-53903.77985284089;
69326.28236130266;187500.0;-22192.622386529732;-18448.5040245657;-69162.75699886764;-59972.367879434576;-66514.63407452514;-53726.12818791011;
69440.05274058017;187500.0;-22221.746709555;-18758.433313182988;-69318.16867806538;-60296.26700833643;-66691.54813188889;-54013.21399369407;
69545.64238138705;187500.0;-22850.85890899407;-19807.892418848565;-69499.5977878091;-60587.68905254472;-66836.00745630353;-54338.61068947443;
69402.92649303991;187500.0;-22820.304074323663;-19504.981577990246;-69287.74795386172;-60179.41208832408;-66597.96137785452;-53988.38120560422;
69317.92280887638;187500.0;-22261.577518174356;-18524.14232780246;-69149.99415278365;-59942.17067267546;-66494.18222834852;-53708.71617897942;
69414.54940015667;187500.0;-22173.288127575892;-18618.757262081774;-69274.69453509981;-60213.63260908516;-66649.90683196865;-53936.81573114583;
69541.79788134074;187500.0;-22737.69202681685;-19649.73147508281;-69480.26352885527;-60567.50542730158;-66830.68774112317;-54311.27450600559;
69442.2432115368;187500.0;-22900.077450284654;-19680.17455103094;-69335.53598350716;-60269.22139754551;-66646.91169821164;-54079.75513693752;
69310.52438146167;187500.0;-22328.40923409572;-18630.246058731802;-69143.69096084726;-59930.63717253652;-66480.7935334198;-53709.677303991;
69386.49796086526;187500.0;-22135.290162001867;-18516.118051543006;-69239.2446683937;-60145.01275360737;-66611.95356988354;-53872.353300136725;
69520.16139270799;187500.0;-22610.152972954867;-19464.502568781685;-69451.38507501902;-60528.65809543826;-66806.83842978936;-54263.48647636014;
69459.58816523412;187500.0;-22946.144395607043;-19814.061500318232;-69388.5766730996;-60369.08899177182;-66702.32167271634;-54172.51487642704;
69303.93061684736;187500.0;-22402.728784409617;-18766.077609786702;-69152.40814118483;-59940.67310579695;-66485.46504801096;-53729.2797838783;
69349.93050693638;187500.0;-22121.119156017205;-18447.252326876205;-69211.84142969149;-60085.043023233775;-66583.32098523629;-53815.49046224242;
69486.67847951394;187500.0;-22485.541997616532;-19265.90731929628;-69416.31518796863;-60477.807876802435;-66782.22915914407;-54201.281571541025;
69484.39860157951;187500.0;-22984.343526881163;-19917.61713237967;-69435.78355738921;-60462.89926325074;-66756.09996987581;-54252.087086687934;
69309.76442215018;187500.0;-22522.64589341234;-18962.929423204594;-69172.03297281658;-59979.02869928226;-66500.06073714027;-53777.000758290385;
69321.94612287833;187500.0;-22140.34165624877;-18422.732463208733;-69187.85800789094;-60032.58347899717;-66554.2637174444;-53770.65286286508;
69452.99440061979;187500.0;-22378.499493420066;-19062.998183131003;-69378.20546367233;-60408.24924805752;-66747.76276919399;-54127.63257356079;
69508.22556116886;187500.0;-22969.770189496303;-19931.09523428622;-69464.08086586963;-60523.65130468027;-66787.83944700235;-54300.52331692259;
69337.83821318606;187500.0;-22638.71850236875;-19160.161216278222;-69194.27295854961;-60025.09564460465;-66511.7954029793;-53834.534148518345;
69321.6108467115;187500.0;-22158.42421751311;-18417.30098930609;-69156.4761586757;-59976.88293181455;-66518.36681584916;-53730.19620540097;
69444.27722028222;187500.0;-22281.917605628685;-18873.142465727626;-69329.79158518215;-60328.52057558544;-66709.0942512863;-54054.00592732501;
69527.06808174468;187500.0;-22911.856819612603;-19875.148817914585;-69473.78152296324;-60556.106037629375;-66807.91131352322;-54324.81966314551;
69352.14332963745;187500.0;-22740.575401851584;-19356.811863996016;-69234.841374736;-60106.41129093305;-66553.59316511074;-53920.320143737816;
69286.22803523875;187500.0;-22212.582494328322;-18464.731391040255;-69141.81341431302;-59951.49135011332;-66501.89358018561;-53712.24775460336;
69398.4784958933;187500.0;-22205.362880869256;-18706.443155579946;-69286.11627651648;-60256.21268227252;-66669.35284964477;-53977.294740354395;
69513.67938681596;187500.0;-22818.60534174506;-19756.975144979377;-69475.56966251966;-60571.66285177027;-66822.99874103055;-54321.48925322166;
69382.58640558558;187500.0;-22835.927943697923;-19549.0145145672;-69287.59149165053;-60199.774527522866;-66604.4210320021;-54012.34227566031;
69282.09296251452;187500.0;-22270.518215956476;-18541.152005332948;-69134.66085608731;-59931.15126265899;-66482.71578344295;-53705.765748711325;
69370.85173974655;187500.0;-22153.797406410864;-18573.53968304869;-69254.0415232231;-60188.1069169172;-66633.70181723856;-53916.85562334724;
69501.43063085445;187500.0;-22694.709622229293;-19585.090230118065;-69459.81168267867;-60552.2391858386;-66816.60614211633;-54298.109328521416;
69418.95269381437;187500.0;-22917.78003189326;-19723.782804463244;-69336.74297770775;-60297.04931939237;-66655.04773319337;-54112.25457337553;
69278.53903514612;187500.0;-22344.05545521444;-18657.246966033814;-69130.07874847397;-59925.76449224526;-66471.65166993758;-53713.41004531504;
69343.02381789968;187500.0;-22120.403900194633;-18472.5097981107;-69217.00468266067;-60120.023503306336;-66592.86518011871;-53851.74499174893;
69479.9506044329;187500.0;-22573.94314693727;-19394.183980725287;-69428.80981311915;-60511.715473141136;-66788.97938596956;-54243.68283077274;
69446.57944996112;187500.0;-22972.273584875296;-19850.003105402364;-69387.61554808803;-60396.71574791858;-66701.04762328239;-54196.7441674166;
69284.66341312688;187500.0;-22437.709264482175;-18810.088194619202;-69139.73470207867;-59943.28825989822;-66466.66723092404;-53736.99113571538;
69327.57876248108;187500.0;-22102.18722846356;-18405.141640322407;-69193.5353509826;-60067.18397941399;-66562.46680765948;-53801.386511491124;
