CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-1;-4;-2;-1;-2;-2;-1;-1;
-1;-1;-4;-16;-2;0;-2;0;
-1;0;0;11;-1;-1;-3;-1;
-1;-3;-7;-3;-2;-2;-1;-1;
0;-2;-1;-3;-1;1;-1;-2;
-1;-2;-5;-7;-1;-2;-1;-2;
2;1;5;-1;1;1;-2;-2;
-3;-3;4;10;-4;-1;2;0;
-3;-1;-3;-28;-2;-1;-1;0;
-2;-3;0;6;-1;-2;-2;-2;
-2;-2;-3;1;1;-1;-1;0;
-1;0;0;-6;-3;2;1;-1;
-1;0;-2;3;-2;-3;1;0;
-2;0;1;7;1;-2;-2;-2;
-3;-3;-3;-3;-3;-1;-2;0;
1;0;2;2;-1;-1;-1;-2;
0;1;-3;-4;-1;-1;0;-1;
-2;0;-9;-10;-1;-2;0;-1;
0;-1;-1;9;-2;-2;0;-1;
0;0;1;4;0;-1;-2;0;
-1;-2;-6;-5;-2;-1;-4;-1;
1;-2;-4;8;-3;-1;-3;0;
0;3;14;-3;0;0;1;-1;
-1;0;-2;5;2;0;-2;-2;
1;-2;-2;2;-1;-2;-3;-1;
-1;-1;-1;-12;0;0;-1;-1;
-2;-1;-5;1;-1;-2;-1;-2;
-1;-1;-1;-5;-4;-2;-1;-2;
-3;0;4;14;-2;0;0;0;
-1;-1;3;-2;-1;0;0;-2;
-2;-2;-3;-6;-2;-1;-2;0;
0;0;-3;-14;2;0;-1;-1;
-2;-1;0;19;0;1;0;-3;
0;-1;0;-26;-5;-1;0;1;
-1;-2;-13;-3;-3;-1;-1;-3;
0;-1;1;0;0;0;0;0;
0;0;-1;4;1;0;1;2;
0;-1;-1;-1;-1;0;0;0;
1;-3;-5;1;-2;-3;-2;-1;
-1;0;2;-11;-2;-2;-2;0;
-1;-1;-1;1;-1;-1;0;-1;
-2;1;1;7;-1;-1;-1;-2;
0;1;4;-9;0;-1;-2;0;
-1;-1;-6;4;-2;-3;-2;-1;
