CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
-7410.407949734682;-5838.409762192937;-7425.830653408844;-5071.722575631449;-90424.38452534491;-83450.61790354465;-87758.17903973807;-100842.51026421909;
-6477.960226292637;-11373.998090505373;-6541.617994501352;-9580.449411922624;-88952.43274598512;-85195.77505538167;-86563.85827825764;-101415.96661996444;
-6959.126229182033;-8749.97034668569;-6984.942494027912;-7245.675593099069;-89646.54381830023;-84321.71008845688;-87127.47986644266;-101119.40367453142;
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
-6755.211264516266;-10010.720492687286;-6808.58723027554;-8590.1777255747;-89423.0040220027;-84659.62376113221;-86950.38699512328;-101242.02534461324;
-6526.642325716296;-11135.035590533686;-6583.34870139941;-9319.693961107012;-89020.60556657381;-85102.68003972531;-86624.699726665;-101381.2767125698;
-7744.566529341523;-2891.5110697163427;-7716.559793539023;-2023.1457976276636;-90871.26295223988;-82853.02166378757;-88128.79331455151;-100633.0520669284;
-8200.76563367434;984.3261223228125;-8156.956214541939;1194.8348516028943;-91640.38647894698;-81974.1510718049;-88753.9045517331;-100350.41425829104;
-6936.930946937913;-8957.416886975394;-6980.829773048136;-7743.471293863213;-89712.19089176547;-84308.52255922825;-87184.54387003707;-101124.03048563367;
-6452.65805156923;-11438.035838369828;-6514.684142432707;-9583.444545679635;-88918.34633569079;-85224.45234351783;-86541.19360937996;-101420.30285838876;
-7462.174589893173;-5095.705997431994;-7453.122133388774;-3997.7436062984;-90436.81209526207;-83371.31391421723;-87775.00990331292;-100802.76886257755;
-8316.07828331927;2035.707478011546;-8260.511846603376;2222.858634335832;-91803.53186172627;-81772.15835716229;-88887.61268706474;-100283.2696179473;
-7157.587368200704;-7551.961547370142;-7189.125679627143;-6567.098983180402;-90057.54769534442;-83897.2504612506;-87465.25942865128;-100988.64596946788;
-6433.346144359844;-11494.473993119478;-6498.121499791325;-9648.778694722498;-88898.8332627813;-85256.61650378902;-86525.43562953897;-101432.57396609473;
-7185.012958647366;-7137.001411557367;-7195.13829888562;-5820.550718373146;-90013.17948260064;-83883.39237968832;-87430.74833521228;-100972.3291960155;
-8342.319231309799;2273.2618180825493;-8280.78487882434;2514.8618238999634;-91828.99049866087;-81731.12055434234;-88908.89154778619;-100267.93632125096;
-7403.255391508984;-5781.189296387351;-7419.4157027501715;-5027.734342543405;-90437.48264759572;-83443.6441592746;-87774.49581319044;-100839.31396476197;
-6465.353842419844;-11363.649232822567;-6530.218604829145;-9575.800249075919;-88957.01485359846;-85200.06659031709;-86573.3801213956;-101416.8830414871;
-6934.516958536739;-8796.50667864164;-6961.987252472312;-7290.5131924764155;-89633.91508268299;-84341.04434741073;-87122.65188964033;-101123.56109900012;
-8270.570131608263;1617.5286909972062;-8210.175718090024;1978.6434744171472;-91706.5476425347;-81860.91713439432;-88809.06865704879;-100306.96246706993;
-7655.114848031384;-3751.6732515899243;-7654.220778253171;-3208.838785748337;-90824.83837900619;-82973.94460129079;-88089.70011349919;-100683.1646779972;
-6542.646174746296;-11026.137891547429;-6604.873431309871;-9348.371249243171;-89086.99024760608;-85049.59464664396;-86678.52272731338;-101367.75390717434;
-6732.479540405219;-10017.60482997952;-6774.187895558822;-8356.13260938318;-89330.02076506864;-84716.10661937078;-86876.20155527611;-101249.69199296141;
-8114.756121010319;210.62048800235846;-8062.900073874006;742.189674638471;-91454.55407554556;-82162.24100139631;-88604.6172505161;-100406.74065431842;
-7898.190068982848;-1686.2379534528202;-7879.459307129301;-1315.6683821282843;-91193.66451426322;-82527.49085754047;-88390.62164910098;-100535.39729540316;
