CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
112562.31219319251;187500.0;-187500.02235174447;-187500.02235174447;-4356.489104806078;-5322.889128075734;12675.763687582457;22231.96145677107;
112896.78369722173;187500.0;-187500.02235174447;-187500.02235174447;-4479.557809776999;-6591.104756725402;10720.142509954276;20183.08880127535;
113001.03223336129;187500.0;-187500.02235174447;-187500.02235174447;-4122.980430481485;-6662.6750424712955;10002.204478049813;19368.635936812872;
112681.42463939484;187500.0;-187500.02235174447;-187500.02235174447;-3925.323954263205;-5256.459743554562;12133.510367096707;21560.55975682256;
112592.91173135182;187500.0;-187500.02235174447;-187500.02235174447;-4292.965447064095;-5159.386117385164;12852.856558901854;22385.406182456754;
112893.60974950908;187500.0;-187500.02235174447;-187500.02235174447;-4514.18066193827;-6382.831201890851;11121.378674671492;20589.354108495012;
113100.78806886531;187500.0;-187500.02235174447;-187500.02235174447;-4208.185280345116;-6822.892346726936;9878.5322759786;19229.406920600763;
112827.1803649879;187500.0;-187500.02235174447;-187500.02235174447;-3890.164660235007;-5460.799391364979;11737.437455348667;21118.75517591896;
112648.50051981218;187500.0;-187500.02235174447;-187500.02235174447;-4208.520556511946;-5025.722685542427;12942.442350678724;22437.999837160092;
112895.26377859876;187500.0;-187500.02235174447;-187500.02235174447;-4498.802661753019;-6125.942602866006;11539.512758196923;21000.44739251702;
113150.18542411155;187500.0;-187500.02235174447;-187500.02235174447;-4298.508679689012;-6901.704597676349;9883.851991158961;19222.299065863976;
112936.41334014099;187500.0;-187500.02235174447;-187500.02235174447;-3893.9197533034985;-5716.950382822798;11315.548278754744;20659.449179106854;
112691.70644184429;187500.0;-187500.02235174447;-187500.02235174447;-4132.8822532751865;-4968.546923225752;12939.447216921713;22402.52761870952;
112875.21426382236;187500.0;-187500.02235174447;-187500.02235174447;-4474.126335874359;-5884.5661144931455;11937.194995545746;21394.75451645309;
113196.40883164512;187500.0;-187500.02235174447;-187500.02235174447;-4366.480334577601;-6902.688074432383;10003.724396672773;19332.1131863729;
113057.55979508875;187500.0;-187500.02235174447;-187500.02235174447;-3937.8632829026324;-5991.474508222879;10892.429756215783;20189.391993211746;
112757.12999786496;187500.0;-187500.02235174447;-187500.02235174447;-4070.5655897337906;-4954.465324218908;12854.220015313627;22258.157701272692;
112859.00924909225;187500.0;-187500.02235174447;-187500.02235174447;-4451.573425718954;-5650.2974808570725;12292.408918429484;21722.72166284581;
113200.87918053618;187500.0;-187500.02235174447;-187500.02235174447;-4429.914585341762;-6832.838873009548;10247.961908335914;19564.88425313047;
113154.38755206914;187500.0;-187500.02235174447;-187500.02235174447;-3996.201335930984;-6280.974302408016;10509.723187652015;19773.87306378759;
112830.60018188956;187500.0;-187500.02235174447;-187500.02235174447;-4001.677513322534;-5029.053095466268;12654.328364649817;22015.93184661053;
112859.00924909225;187500.0;-187500.02235174447;-187500.02235174447;-4397.884535537307;-5433.776132318513;12569.34703223074;21996.88816033461;
113194.44187813305;187500.0;-187500.02235174447;-187500.02235174447;-4472.4499550402115;-6693.27458063061;10554.359621329264;19885.184751175017;
113242.8781083677;187500.0;-187500.02235174447;-187500.02235174447;-4068.352767032715;-6529.480997262121;10197.066986211179;19447.805815673568;
112916.36382536458;187500.0;-187500.02235174447;-187500.02235174447;-3941.0819341041965;-5136.676745018572;12381.435916594974;21704.884970770476;
112864.15015031699;187500.0;-187500.02235174447;-187500.02235174447;-4326.76128468052;-5231.515196742439;12799.860572798321;22208.82740125983;
113171.59839529973;187500.0;-187500.02235174447;-187500.02235174447;-4496.187507651747;-6489.761947365039;10948.175006887319;20275.312098897946;
113319.34342614931;187500.0;-187500.02235174447;-187500.02235174447;-4152.887064562687;-6724.656429845862;10006.183088562857;19231.396225857286;
113004.00501537384;187500.0;-187500.02235174447;-187500.02235174447;-3914.5951169246578;-5332.05334330241;12032.212261225255;21301.50303858555;
112854.69536241239;187500.0;-187500.02235174447;-187500.02235174447;-4256.308586157392;-5092.755567163893;12965.174074789773;22343.00492322504;
113117.50717371788;187500.0;-187500.02235174447;-187500.02235174447;-4511.520804348088;-6278.895590173673;11375.227436450416;20703.14683951698;
113357.11787427877;187500.0;-187500.02235174447;-187500.02235174447;-4250.050097709906;-6863.88544605797;9930.924764981839;19145.610230637816;
113095.60246415169;187500.0;-187500.02235174447;-187500.02235174447;-3903.039265041264;-5561.695165836235;11632.674829086642;20873.489484010875;
