Año;Mes;Dia; Hora
2020;04;21;22-21-04
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
10;-20;-31;-29;-5;-1;15;-7;
-14;-12;-19;7;-19;-8;-17;-15;
13;16;43;46;-2;-4;-8;-2;
-10;-6;-15;-31;1;18;8;-4;
-22;12;23;37;-6;-9;-21;18;
29;-5;-23;-20;8;-7;15;-7;
1;-3;12;14;-17;-13;-13;-11;
-13;0;13;53;-7;-10;1;-4;
6;-11;-35;-16;-10;18;17;1;
-4;5;21;15;-4;5;-23;2;
-19;-13;-15;-17;-3;3;6;-10;
14;4;1;-3;5;-3;8;5;
-14;6;12;-13;-9;0;7;-11;
-2;-2;2;-4;-8;-13;-10;10;
5;-5;-15;-4;27;5;-19;-7;
1;-4;-17;-21;-11;-6;2;3;
0;8;14;-24;-3;4;9;0;
8;1;0;12;11;-2;-17;1;
-7;-6;-8;-14;0;1;-2;-3;
5;2;5;21;50;6;1;0;
0;1;3;-10;-17;-7;-10;-3;
3;-1;1;10;29;5;3;2;
-6;-8;-11;-12;-75;-10;-3;-4;
2;0;-7;-12;25;-2;2;-6;
4;5;2;-4;10;2;-5;8;
-4;-5;-2;-3;0;-1;14;13;
3;-5;-9;-17;-64;-8;-15;-6;
28;10;3;13;41;3;7;1;
-32;-17;-1;-20;-116;-7;-21;-29;
2;-2;2;-1;-9;5;17;19;
-4;-2;-4;9;83;-6;-11;-8;
3;-2;-10;-21;-61;-7;-4;-2;
3;3;2;7;-23;-4;5;2;
-1;0;-1;-5;-23;-3;2;-7;
-4;-3;-4;-11;-18;-1;-7;-11;
-1;2;-3;7;22;-5;-3;8;
5;6;8;-10;-18;8;8;-1;
1;3;2;12;20;-1;-8;-2;
-4;-4;-9;-5;25;-1;3;1;
-2;-5;-7;-17;-70;-7;-2;4;
3;-2;0;-3;10;-4;-8;-3;
-1;2;4;4;5;3;8;-1;
-4;-3;-3;-3;-16;-5;-1;3;
-4;-7;-15;5;-21;0;-4;-4;
2;1;-3;-7;39;1;1;0;
-2;0;0;4;12;4;1;-1;
-2;-2;2;12;16;-2;4;1;
-2;-4;3;-6;5;-1;-7;0;
1;3;3;-2;0;7;5;2;
-3;0;3;6;9;-2;0;0;
-2;-4;-13;-1;-6;-4;-2;-1;
2;1;3;5;-2;-1;-2;-2;
-2;-3;-1;-18;20;-2;-1;2;
-2;-6;-9;1;-3;-5;-2;-4;
2;6;16;9;10;4;-3;-2;
-1;1;0;-4;-17;-2;0;1;
-1;-1;-10;-31;-1;-5;-1;-1;
-1;-2;-3;2;-17;-2;-3;-4;
-4;2;6;4;16;-1;0;1;
0;0;-2;-18;-2;1;-1;2;
1;-2;5;25;11;-2;-1;0;
1;4;12;13;-7;1;1;-2;
-4;-9;-27;-12;-13;-2;0;-1;
-4;-6;-6;-27;-5;-7;-3;-3;
-1;-1;3;24;13;0;-1;-1;
-3;-2;-22;-35;-12;0;0;-1;
-1;1;10;-6;5;1;0;-1;
-2;0;4;9;27;-1;-3;-3;
1;3;8;8;-4;3;4;-1;
-1;-1;1;-2;-2;-4;-1;-1;
2;6;21;-16;-9;-2;0;1;
-2;1;2;-14;6;2;1;1;
-1;-6;-11;6;-8;-3;-3;-3;
-1;1;-2;-10;0;0;-1;-3;
0;2;6;8;-10;0;-1;0;
