CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
0;-2;-1;-4;-2;-3;-2;-1;
-2;-1;-2;0;16;1;-1;-2;
-1;0;-1;-2;3;-1;0;0;
-1;0;-1;0;-5;-3;-1;-1;
-2;-1;-1;-4;1;-2;-1;-1;
1;-2;-1;1;-8;-2;0;0;
0;-1;-1;3;15;-1;0;-3;
-2;-1;-1;-2;-16;-2;0;-1;
0;-2;-2;-2;-2;-3;-1;-3;
-2;-1;0;-2;-1;-1;-1;-1;
0;-2;-2;-2;0;0;-1;-1;
0;-1;-2;-2;-10;-2;1;1;
0;0;-1;0;-12;0;-1;-2;
-1;1;0;-2;6;0;-1;-1;
1;-2;-2;-3;-2;-1;-1;-1;
-1;-1;1;1;4;-1;0;-2;
-2;0;-2;-1;2;-2;-1;-1;
0;-1;1;1;7;0;-1;-2;
-2;0;1;-1;-7;-1;-1;-1;
-3;-2;-1;1;3;2;0;-2;
-1;0;-2;-3;4;-1;-1;0;
1;-2;-1;-1;-12;-3;-1;-1;
-2;-1;-1;-1;-6;-1;-1;-2;
0;-1;-2;-2;12;0;-3;-2;
1;-3;0;3;3;1;0;0;
0;0;1;-3;-1;0;-1;-3;
-2;0;-2;-2;-6;-2;-1;0;
0;0;-1;0;-9;0;-1;-1;
-1;-3;-2;-3;4;-1;-1;-3;
0;-3;-3;-1;5;-2;0;0;
-1;-1;-1;0;8;0;0;-1;
0;-1;-3;-1;-7;-1;-1;-1;
-1;-1;0;1;8;1;-1;1;
-1;-1;1;-2;3;1;1;-1;
-1;-2;-1;-3;-3;-1;0;-1;
-1;-1;-3;-3;-7;-2;-1;-2;
-1;-2;-2;-2;5;0;-1;0;
0;0;-2;0;-2;0;0;-2;
0;-1;-2;-2;0;-2;0;-1;
0;-1;3;3;-7;3;-2;-2;
-1;-1;-2;-7;-16;-1;-2;-1;
-2;-1;0;12;61;0;-1;1;
-1;-1;-2;-2;-4;-1;-1;-2;
-3;0;-1;-1;-7;-2;-1;-1;
0;-1;-2;-1;-13;-3;-3;0;
-2;-1;-2;0;-3;0;0;-1;
0;-1;1;3;-1;0;1;-1;
1;-1;-2;-2;6;-1;-2;-1;
0;-1;0;2;-1;1;-1;-1;
0;-3;-2;-6;-14;-1;-2;-2;
0;-1;-3;2;11;-2;-3;2;
-1;0;-2;-2;-5;-1;1;0;
-1;1;1;0;7;0;-1;-3;
1;1;-1;0;-7;-3;-1;-1;
-1;0;1;-2;-7;-1;-2;0;
-2;-3;-3;-1;9;0;-2;-1;
-2;-1;-1;-2;5;-3;-1;-1;
-1;-1;1;-1;-10;1;-2;-2;
-1;0;0;-1;-13;-4;-2;-3;
3;0;-4;-3;-2;-3;-1;-2;
-2;-3;0;4;12;0;-1;0;
-2;-2;-3;-6;-33;-3;-2;0;
0;-1;0;4;11;-4;0;2;
-2;0;0;-4;-3;-2;-1;-1;
-1;-1;-3;-2;0;-1;-1;-2;
-1;0;0;-3;-4;1;0;-3;
-1;-2;-2;0;3;-1;-2;-1;
0;-1;-2;-2;-3;-2;-2;-3;
1;0;1;-3;-17;2;0;-1;
-1;-1;-3;-2;-5;-1;-3;1;
-3;-2;-2;-5;-8;0;-2;-2;
-1;-1;0;3;7;0;-2;-1;
-1;-1;-2;-3;-7;-3;-2;-1;
0;0;0;-1;-9;-3;0;-1;
-2;-1;-1;-4;-7;1;1;-1;
0;-1;-1;-1;-7;-2;0;0;
-3;-1;-1;1;11;-1;-1;-1;
-2;0;-1;1;-2;1;0;0;
-1;0;-2;-2;8;-4;0;0;
-3;-3;0;-2;-3;-1;-1;-1;
0;-1;-1;0;6;0;-1;-1;
0;0;1;0;7;1;-1;-2;
-1;-1;0;5;-3;-1;-1;-1;
0;0;-1;-2;-5;1;-1;0;
-1;0;-2;-1;-4;-2;-2;-1;
-1;-3;-2;-2;10;-3;-2;-1;
-2;-1;-1;-2;-9;-1;-1;-2;
-1;-2;-1;1;-3;-2;0;0;
0;0;1;0;-1;2;1;-1;
0;-1;0;2;-6;1;0;-1;
0;0;-2;0;-4;0;-1;-2;
-3;-1;-3;0;6;-4;0;-1;
-1;-2;-2;-5;-7;-1;1;0;
0;-1;0;-1;2;-1;-1;-1;
0;-1;1;-1;4;-1;-1;-2;
-2;-1;-1;1;4;-1;-1;-2;
-1;-1;-2;-3;-8;-2;0;0;
-2;0;-2;1;7;-1;-1;1;
-2;-1;-1;-1;-1;2;-2;-2;
0;0;0;-2;-9;2;-1;0;
0;-2;-1;3;46;0;0;0;
-1;-3;-3;-4;-16;-1;-2;0;
1;1;-1;0;4;-1;0;-1;
0;0;-1;0;-3;-3;-1;-2;
-2;0;-3;-2;-7;-3;-2;-2;
-2;-1;2;-2;-1;1;-1;-2;
-3;0;0;1;-1;-1;0;-1;
-1;0;-1;-1;-1;-2;-1;0;
0;-2;-2;-4;-11;-2;-1;0;
-1;-2;-2;-2;5;-1;-2;-3;
-1;-2;-1;-2;-6;0;-2;0;
-1;-1;0;1;-5;-1;0;0;
-1;0;0;-1;9;-2;-1;-1;
-1;-3;-2;-4;-3;-2;0;-2;
-2;-1;-2;-1;-3;1;-1;0;
-2;0;0;5;13;-1;-1;-1;
-3;-2;-2;-8;-19;-1;-2;-2;
1;-1;1;1;-12;1;0;-1;
-2;0;-1;-4;-5;-2;-1;-2;
1;-1;-1;-3;-2;-4;-2;-2;
-2;0;-2;2;-4;-1;-2;-3;
-2;-2;-2;0;13;-1;-1;0;
