CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-4810.520089926731;-4836.604575706074;-4846.931081644426;-4818.901994097471;3692.4858322722716;3690.8094514381232;-60756.601185393476;3614.299430167607;
-4774.243208675767;-4832.715372170851;-4825.540462200697;-4826.278069767723;3687.546096747649;3685.8697159135004;-60756.86940632694;3609.42674987635;
-4650.593358349009;-4786.693130337373;-4749.611586286019;-4820.4219127204315;3681.309960044618;3679.655930954925;-60783.579740951034;3603.1012061954984;
-4669.5029341581985;-4784.748528569762;-4759.848685246549;-4812.196470760879;3685.1097566020203;3683.4110240234168;-60786.731336919234;3606.9680579862666;
-4793.800985074161;-4827.708581412862;-4835.822264650138;-4815.146901028979;3690.407120037928;3688.663683970414;-60759.10458077247;3612.28777316663;
-4791.141127483979;-4835.732857672317;-4834.86113963856;-4823.372342988532;3686.942599647355;3685.1544600909306;-60751.639098124404;3608.823252776057;
-4665.837248067528;-4792.191659473379;-4757.948786967849;-4820.131340042512;3679.8347449105677;3678.046605354143;-60776.60599668098;3601.670694550359;
-4651.018041493659;-4778.177115699901;-4747.5105223072205;-4810.81066260465;3681.5558292336264;3679.790041421657;-60786.44076424131;3603.4141306178726;
-4772.030385974692;-4817.560889430152;-4821.6512586654735;-4811.637677149496;3687.9037246589337;3686.115585102509;-60762.52439767413;3609.829081276546;
-4806.608534647052;-4839.934985629915;-4844.204168820878;-4822.634735421507;3688.4848700147713;3686.6743787138917;-60750.387400434905;3610.365523143473;
-4689.597152423519;-4803.166366000934;-4773.2820836641895;-4823.752322644273;3682.651064711936;3680.9746838777883;-60773.588511179514;3604.531717840638;
-4641.809122778073;-4778.177115699901;-4743.12958039398;-4814.6104591620515;3683.1875065788636;3681.5111257447156;-60790.55348522109;3604.956400985289;
-4752.897292720949;-4812.710560883351;-4811.458863193853;-4814.297534739678;3691.2341345827745;3689.513050259716;-60772.09094430101;3613.0924359670207;
-4820.354857487066;-4845.992308377303;-4853.904825914482;-4825.272241267234;3693.6034194950366;3691.9046869164335;-60753.62840338092;3615.4840726237385;
-4715.301658547122;-4813.917555083937;-4789.621208861018;-4826.456883723365;3685.5120880022155;3683.858058912523;-60769.945176833295;3607.348037642007;
-4636.243538408701;-4778.3335779110885;-4740.626185014986;-4816.7785783742165;3683.4110240234168;3681.734643189269;-60791.760479421675;3605.202270174297;
-4729.003277898226;-4805.200374746368;-4797.399615931466;-4814.588107417597;3691.3905967939613;3689.7812711931792;-60779.243502526704;3613.2265464337524;
-4823.439398221898;-4845.969956632848;-4855.96118640437;-4824.311116255655;3694.989227651266;3693.2681433282073;-60755.550653404076;3616.892232524423;
-4740.514426292709;-4823.104122055069;-4805.37918870201;-4827.373305246032;3686.9649513918107;3685.1991635798413;-60765.184255264314;3608.7785492871467;
-4634.209529663269;-4777.372452899511;-4738.502769291731;-4815.437473706898;3679.6112274660145;3677.8677913985007;-60787.11131657497;3601.3801218724398;
-4700.54950720662;-4793.130432740501;-4778.199467444357;-4809.871889337527;3685.7803089356794;3684.0368728681656;-60779.71288916027;3607.6386103199256;
-4816.040970807191;-4839.8455786520935;-4850.306195057177;-4819.840767364593;3692.8658119280117;3691.167079349408;-60755.4388946818;3614.8135202900794;
-4764.050813204148;-4830.636659936507;-4819.684305153407;-4827.306250012666;3688.2613525702186;3686.5179165027043;-60760.46803718425;3610.14200569892;
-4646.7265065582405;-4786.402557659454;-4748.136371151969;-4821.695962154385;3683.9698176347993;3682.248733311741;-60788.474772986745;3605.7834155301352;
-4683.115146531481;-4791.141127483979;-4769.415231873421;-4814.923383584426;3689.11071885952;3687.4566897698273;-60788.631235197936;3610.9466684993113;
-4805.937982313393;-4835.4422849943985;-4844.762962432261;-4819.52784294222;3694.050454384143;3692.463480527816;-60760.73625811771;3616.0428662351214;
-4785.083804736591;-4836.67163093944;-4832.402447748476;-4826.5239389567305;3689.0660153706094;3687.3449310475507;-60756.55648190457;3611.013723732677;
-4657.187122963324;-4789.196525716367;-4753.254920632234;-4820.041933064692;3680.594704222048;3678.8736198989895;-60780.98693859422;3602.3859503729286;
-4661.277492198646;-4782.8486302910605;-4755.154818910935;-4812.911726583448;3685.266218813207;3683.5227827456933;-60789.21238055377;3607.0351132196324;
-4788.525973382709;-4827.90974711296;-4834.145883815991;-4818.007924319259;3694.050454384143;3692.374073549995;-60765.92186283134;3615.931107512845;
-4801.847613078072;-4840.739648430306;-4842.259567053266;-4825.093427311591;3689.848326426545;3688.1048903590313;-60753.29312721409;3611.706627810792;
-4675.850829583505;-4796.572601386619;-4764.2743306487;-4820.846595865082;3680.2817797996736;3678.448936754339;-60774.81785712455;3602.0059707171886;
-4645.608919335476;-4777.998301744259;-4745.364754839511;-4812.799967861172;3682.695768200847;3680.9746838777883;-60789.83822939852;3604.464662607272;
-4765.146048682457;-4817.560889430152;-4819.349028986577;-4814.945735328882;3691.6811694718804;3690.0047886377324;-60769.85576985548;3613.539470856127;
-4816.063322551647;-4845.3664595325545;-4851.602596235585;-4825.674572667429;3692.754053205735;3691.0329688826764;-60753.874272569934;3614.590002845526;
-4701.443576984832;-4807.994342803281;-4781.082842479092;-4824.735799400306;3683.63454146797;3681.8687536560005;-60771.845075111996;3605.403435874395;
-4638.031677965126;-4777.841839533072;-4741.810827471117;-4815.795101618183;3683.366320534506;3681.689939700358;-60791.916941632866;3605.0681597075654;
-4741.564958282109;-4809.290743981689;-4805.222726490823;-4814.655162650963;3691.524707260693;3689.9600851488217;-60776.33777574752;3613.338305156029;
-4821.114816798547;-4844.606500221074;-4853.927177658937;-4822.947659843881;3692.463480527816;3690.8094514381232;-60752.80138883608;3614.277078423152;
-4725.874033674483;-4816.5997644185745;-4795.790290330683;-4825.093427311591;3684.4168525239056;3682.628712967481;-60765.92186283134;3606.14104344142;
-4633.650736051886;-4776.634845332485;-4738.659231502918;-4815.303363240167;3680.5723524775926;3678.8736198989895;-60789.100621831494;3602.3859503729286;
-4716.978039381271;-4801.154708999957;-4790.381168172499;-4814.297534739678;3690.5188787602046;3688.864849670512;-60781.85865662798;3612.3548283999958;
-4822.81354937715;-4845.120590343546;-4855.91648291546;-4823.90878485546;3695.391559051461;3693.759881706224;-60756.98116504922;3617.205156946797;
-4753.076106676592;-4827.529767457219;-4813.247002750279;-4828.021505835236;3687.8143176811122;3686.115585102509;-60763.239653496705;3609.5832120875375;
-4639.81981752155;-4781.686339579384;-4743.241339116256;-4818.969049330837;3681.980512378277;3680.3264832885843;-60788.51947647566;3603.7717585291575;
