Año;Mes;Dia; Hora
2020;04;21;22-30-33
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-10416.225840595465;-9844.401162195345;-10349.394124674098;-9675.645491557776;-187008.37338070554;6197.691702567542;-154575.41103069915;-121234.38671045146;
-10355.786723588315;-9897.95594191026;-10297.672188004517;-9800.79290876304;-186829.06768668507;6157.905597437096;-154429.58824987273;-121367.64781089399;
-10421.858480198203;-10222.458567912408;-10129.207090044867;-9875.96182536624;-186475.23957195756;6150.283652577836;-154211.9493141114;-121747.18043174512;
-10493.875800833202;-10223.822024324183;-10152.095276367101;-9763.93488215624;-186592.98856174812;6186.873458251173;-154318.70124562996;-121676.88419543317;
-10433.928422204068;-9886.869476660428;-10328.517595352841;-9669.05172694346;-186976.49979311228;6200.373911902179;-154560.234196214;-121274.86571966003;
-10359.00537478988;-9854.012412311127;-10326.438883118497;-9775.021347406071;-186899.18510904137;6166.488667307934;-154478.8738463967;-121305.5770165416;
-10406.279314312855;-10172.480067310342;-10156.945604913904;-9878.95695912325;-186523.25111904755;6150.283652577836;-154239.06198013568;-121696.55373055385;
-10492.311178721331;-10267.251463800843;-10128.871813878039;-9794.84734473793;-186530.56013948444;6181.732557026453;-154275.29415789773;-121739.87141130822;
-10454.201454425032;-9945.051067477592;-10304.623580530117;-9674.639663057287;-186929.98581290076;6205.157185215615;-154535.96020173552;-121336.55653435667;
-10366.962595815969;-9823.70344682973;-10348.880034551625;-9748.579233715443;-186958.4842870813;6175.69758602352;-154522.8173759958;-121257.47606247378;
-10389.962540860479;-10111.973895069827;-10187.031052950746;-9871.558531708542;-186582.81851802094;6149.4119345440795;-154273.9083497415;-121630.75019487742;
-10483.750460594949;-10291.123126879113;-10112.62209565903;-9822.474100884689;-186483.1073860058;6174.468240078479;-154239.93369816945;-121782.22796705103;
-10465.623195841694;-10004.21613505079;-10268.212588812423;-9680.741689293587;-186861.4553644008;6200.508022368911;-154493.55894250382;-121404.05880261169;
-10372.505828440884;-9802.759862275108;-10355.674964866039;-9716.437425188711;-186994.2917816987;6177.9998157024165;-154549.8406350423;-121220.14864923342;
-10372.930511585535;-10044.784551237173;-10216.468300398386;-9854.548854178054;-186648.554998464;6147.377925798646;-154312.77803334928;-121553.97195267344;
-10467.746611564948;-10292.687748990984;-10103.48023217681;-9843.931775561783;-186453.49132460254;6165.035803918338;-154214.16213681246;-121799.68467947062;
-10481.023547771401;-10074.065336473624;-10235.73550411886;-9700.746500581086;-186789.72861644372;6200.932705513562;-154449.97304081597;-121486.4249809295;
-10389.91783737157;-9808.03487396656;-10361.32995621323;-9696.20909645666;-187018.96810757736;6188.058100707305;-154573.30996672035;-121212.0573177406;
-10365.353270215186;-9984.188972018836;-10252.722829904895;-9837.80739758103;-186725.53440636807;6152.74234446792;-154362.68947871798;-121480.25589945984;
