Año;Mes;Dia; Hora
2020;07;02;18-57-46
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;CH9 ;CH10 ;CH11 ;CH12 ;CH13 ;CH14 ;CH15 ;CH16 ;
39512.65388878035;102419.33642856318;19444.587164472006;22299.79900119293;37679.07323587814;26356.55121285334;29281.99223065284;8591.787051175483;49922.84475837288;31301.986432312304;17449.559861369118;19630.151346939965;18940.17534734909;32694.790684555854;-31382.2068431624;-11249.454170400402;
39249.30563560792;102489.61031313066;19554.736561147758;22271.546396201422;37722.97206198837;26423.606446219263;28911.601473283947;8618.117406143834;50083.19617309525;31442.109518302623;17039.18183316968;19572.126218333986;18830.607096029176;32600.466322954457;-31182.829282621064;-11631.669000586153;
39596.539985721116;102393.90014337303;19424.783518884604;22313.85824845532;37678.33562831111;26357.668800076106;29373.567327686233;8632.981316206613;49923.381200239804;31304.020441057735;17434.763006539706;19630.508974851247;18939.75066420444;32689.76154205341;-31385.44784610842;-11273.124667778573;
39223.28820506194;102520.23220303444;19575.59073872456;22266.003163576504;37732.22568419286;26421.907713640656;28830.79991707801;8569.256492764533;50076.60240848093;31446.2222392824;17052.302307164944;19556.077665815075;18819.230058101424;32601.762724132866;-31180.325887242067;-11603.572857805832;
39640.282349620145;102384.78063163527;19431.2878765211;22343.630772069788;37701.51438731127;26386.591957401273;29464.4048171526;8705.624485686361;49946.381145284315;31324.695804678897;17423.654189545417;19648.70329483787;18958.45907431353;32706.905330050628;-31354.35656957109;-11295.14113606705;
39227.02094638598;102535.27492705286;19573.221453812297;22247.138291256226;37726.7048033124;26404.495704709974;28764.01290464555;8518.093349706334;50048.37215523388;31412.985195277357;17090.09910703887;19543.851261598025;18817.73249122292;32578.49455815489;-31204.286957298158;-11558.511740983933;
39679.12968148347;102361.46776216838;19415.708710635747;22346.871775015807;37699.77095124376;26391.956376070546;29513.55630320982;8749.54566354104;49972.91266595277;31343.314807810166;17404.655206758405;19661.689658366402;18972.18304540909;32694.366001411203;-31327.065089591157;-11336.715380753922;
39211.64294620072;102563.99691867792;19582.765648694713;22233.43667190512;37731.86805628158;26403.55693144285;28720.67287214671;8476.943788164113;50019.717218842175;31399.842369537637;17120.989217876104;19526.595714878527;18821.755805224875;32581.981430289918;-31237.903980958938;-11521.586659143766;
39677.118024482494;102357.82442782217;19414.680530390804;22362.96503102363;37703.526044312246;26407.244969277977;29547.08391989278;8786.113117469922;50005.456805879694;31371.2544883793;17365.562005706073;19678.967556830354;18987.22576942751;32697.025859001384;-31296.979641554313;-11385.6880528555;
39235.29109183444;102558.34192733074;19570.762761922215;22232.25202944899;37721.005108476296;26379.70762010904;28716.20252325565;8441.873901113737;49982.90389572429;31372.886165724536;17176.421544125264;19525.545182889127;18832.752863496884;32577.198156976483;-31265.173109194413;-11465.997870683417;
39672.737082569256;102345.59802360511;19420.044949060077;22366.988345025584;37704.621279790554;26419.337263028297;29541.42892854559;8816.846766095969;50022.801759577014;31391.415761877986;17321.059682495557;19671.591481160103;18967.243309884467;32679.300925648324;-31268.257649929245;-11436.940602891518;
39257.24050488955;102571.88708447064;19567.54411072065;22239.806919074887;37719.93222474244;26391.08465803679;28731.558171696448;8427.591136406796;49956.998223900584;31347.36047355658;17230.22219302919;19518.57143861907;18842.92290722405;32574.895927297584;-31287.793074583184;-11410.789061878808;
39628.57003552557;102371.8613233401;19446.2411935617;22389.85417960336;37724.51433235578;26454.429501823128;29515.27738753288;8854.107124102966;50066.65588219832;31431.22421875289;17275.059792406537;19684.66725166646;18984.297690903866;32681.89372800514;-31215.216960336802;-11473.21748414248;
39303.06158102293;102551.34583131623;19536.586944650047;22234.174279472147;37706.43177109143;26364.26256469042;28776.79810247399;8421.489110170498;49947.588139484906;31329.032043103227;17296.740984528184;19539.1126917735;18879.445657664022;32590.92212807204;-31311.86590336155;-11347.15364541455;
39594.23775604222;102372.77774486277;19444.900088894377;22375.929042807704;37721.340384643125;26446.405225563674;29444.891744243116;8833.789388393092;50066.78999266506;31432.520619931296;17213.2125154987;19658.80628333167;18963.89054821617;32647.717910732976;-31207.97499513328;-11538.70809539653;
39349.77672693452;102530.71517118397;19515.77747056216;22246.534794155934;37696.21702387536;26355.21010818602;28846.22262075217;8426.272383483933;49926.823368885925;31311.597682428084;17339.05283678208;19532.831851581555;18894.466029937987;32590.720962371943;-31341.258447320277;-11316.71056946642;
39543.40988915085;102393.2742945283;19461.507435024672;22358.025295499003;37724.44727712242;26454.56361228986;29358.546955412265;8818.858423096946;50092.18157436628;31438.577942678687;17156.886119471328;19628.720835294826;18952.871138199705;32630.104736102196;-31189.5124542132;-11586.563180275343;
39408.2041869407;102504.94360982701;19488.307176626586;22247.272401722956;37687.41043655997;26348.415177871608;28932.56740958302;8448.758238405971;49914.77577862451;31294.27508047522;17382.191703580822;19541.81725285259;18917.197754049033;32609.54113120331;-31369.376941845054;-11281.75244113832;
39495.085417638475;102411.78153893728;19477.600691032494;22339.808623767927;37723.3520416441;26444.348865073785;29255.55011696221;8783.632073835382;50097.76951048011;31443.160050292023;17119.2904852975;19616.807355500147;18931.83814666726;32617.565407462767;-31173.307439483102;-11617.587401579309;
39493.699609482246;102468.91259776504;19447.157615084365;22249.574631401854;37670.4901660073;26323.58238978176;29032.725576487253;8466.617282225763;49893.69808360316;31260.635705069984;17418.06625343159;19545.594697665536;18914.35908250321;32606.277776512838;-31395.97551774687;-11267.17910375346;
39447.76677462659;102446.96318470994;19499.080717454042;22323.380091593277;37736.49486738382;26443.81242320686;29147.52413600971;8744.82944546097;50110.28648737508;31443.31651250321;17073.46940916412;19585.20198884034;18907.295931255332;32591.950308316984;-31169.060608036594;-11645.996468782005;
39561.44774692628;102452.9311004795;19441.390865014895;22276.866111381783;37681.97896265733;26339.094500433745;29150.49691802227;8531.079713234867;49927.382162497306;31290.542339151187;17447.72701832378;19581.24573007175;18950.993591665458;32644.99099790943;-31379.39052336103;-11247.017830254774;
39414.127399221354;102464.75517329636;19505.987406490734;22302.905893672218;37724.6037393336;26439.856164438268;29028.16582061837;8692.459308202186;50112.32049612051;31442.51184970282;17054.246908932557;19562.425561240383;18886.3076432118;32580.416808178048;-31169.55234641461;-11647.270518215957;
39642.56222755459;102421.63865824207;19408.55615241005;22291.908835400205;37673.17237534194;26353.801948285338;29245.78240463524;8580.566475458918;49917.07800830341;31259.47341435831;17442.20613744332;19574.87548290199;18962.594147037762;32642.666416486078;-31402.39046840554;-11254.729182091854;
39376.46470981416;102494.21477248846;19522.95238053231;22283.303413784914;37728.761163802286;26445.622914507738;28920.4751158327;8643.441932611697;50119.11542643493;31437.3709484781;17041.32760063739;19535.20113649382;18875.109419239692;32575.54412788679;-31177.040180807136;-11637.68161984463;
39711.71852489931;102393.90014337303;19393.02169001361;22317.27806535698;37678.22386958884;26370.543404882363;29351.86378382013;8639.150397676278;49951.83497093141;31284.596775126076;17447.235279945766;19596.579026768093;18978.84386525677;32656.569201537277;-31385.17962517496;-11264.742763607832;
39371.92730568973;102513.75019714239;19527.44508116783;22260.728151885054;37719.7534107868;26414.106954825755;28822.060384995984;8568.36242298632;50099.78116748109;31419.534256402763;17048.1225309518;19517.14092697393;18861.720724310962;32556.880421266607;-31194.251024037723;-11613.318218388345;
39777.29854313118;102387.95457934792;19386.562035866027;22331.069091685902;37684.3929510585;26368.755265325937;29422.294130598802;8672.074517258945;49979.50643056708;31303.416943957443;17420.681407532862;19605.810297228134;18992.65724333015;32657.552678293312;-31369.30988661169;-11300.99729311434;
