Año;Mes;Dia; Hora
2020;04;24;19-54-25
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-8435.48130219952;-7677.935979120252;-7787.794803118087;-7373.8404958058;-57073.88306544818;-98715.4065031298;-44216.556157655265;-112008.16774465654;
-7046.521550002283;-7803.0163410921505;-6986.90944753998;-7563.964434142642;-89312.78757009358;-71776.10060883769;-88488.52228981523;-177517.75562974878;
-7284.187648795563;-8408.770967575427;-7178.665063222059;-7572.748669713577;-55292.22551491565;-101022.12888266193;-43981.95224785236;-112619.01856887563;
-7570.669957479234;-7950.649613219454;-7144.422190716528;-7291.876648888189;-89691.11319674412;-70974.0529625479;-88642.48110562339;-177198.4162567158;
-8489.661930759185;-7655.22660675366;-7819.400169777891;-7368.565484114348;-57146.25801399446;-98617.08117927088;-44224.60278565917;-111978.05994487525;
-7273.615273668203;-7857.420487096369;-7047.817951180691;-7444.472008284571;-89482.23614480927;-71432.17431690387;-88555.80104062571;-177386.23796537376;
-7263.959320063511;-8420.326819458822;-7165.052850848777;-7576.54846627098;-55258.27321508804;-101069.71574660728;-43975.04555881567;-112631.0885108815;
-7338.189463399585;-7900.760519595208;-7081.367919608107;-7415.392388748216;-89507.87359569951;-71334.5418971231;-88571.2013925554;-177337.48881071675;
-8495.138108150733;-7660.702784145211;-7826.105693114483;-7372.097059738286;-57143.97813606002;-98615.8294815814;-44223.77577111433;-111976.5847297412;
-7503.212392713117;-7911.332894722569;-7109.955800766445;-7328.198233628063;-89653.18228640346;-71083.50945514554;-88622.99038445836;-177251.43459456382;
-7277.705642903525;-8400.344359915776;-7168.6514817060815;-7569.753535956566;-55280.42379384325;-101035.36111537948;-43972.98919832578;-112620.96317064324;
-7102.512669862827;-7844.322364845559;-7015.1620525314875;-7536.337677995883;-89322.80115160956;-71693.10858167513;-88497.37358061953;-177474.50500422777;
-8454.413229753165;-7690.117679848395;-7806.570268460545;-7379.294321452895;-57073.59249277026;-98698.79915699949;-44211.862291319645;-111995.06962240573;
-7726.394561099359;-7962.674851736409;-7168.897350895089;-7209.175194403553;-89817.8475878057;-70739.38199751163;-88686.80461487826;-177116.92179643176;
-7334.099094164264;-8357.138437883668;-7195.47357505245;-7556.744820683578;-55367.05915535202;-100921.18840470177;-43980.0299978292;-112588.91076909433;
-6890.796946382159;-7793.136870042905;-6956.041688447201;-7647.55995840549;-89157.10766996237;-72023.17679204665;-88432.84409437705;-177602.96047961243;
-8373.745784013961;-7745.147674697361;-7765.644224362877;-7394.068824537853;-56942.03012490632;-98865.65492935837;-44192.10334922116;-112036.75562581488;
-7926.75559839673;-8010.798157548686;-7222.7203515434685;-7104.524326863805;-89964.43032794361;-70434.88418279699;-88744.47211557295;-176998.278736863;
-7430.99390637802;-8292.83246908575;-7245.072095998776;-7539.153997797251;-55515.161814112886;-100734.08195186639;-43997.35259978206;-112539.37930338137;
-6718.643810587384;-7748.679250321299;-6907.806623912647;-7739.671497305811;-89023.57834858636;-72297.52210349108;-88381.90446876342;-177711.2993849873;
-8258.455486113487;-7820.137777344916;-7705.830956200476;-7414.207746292084;-56758.701116883894;-99102.82928977362;-44166.33178786418;-112098.20057132252;
-8084.536562506743;-8050.338393490124;-7265.501590430927;-7021.286430512242;-90078.02189326548;-70194.55822641352;-88789.35441843921;-176903.55204386142;
-7554.330832282404;-8208.812261678251;-7307.7687391959125;-7513.404788184737;-55704.324627438145;-100484.39061455615;-44017.2903558362;-112470.11124731437;
-6590.9482945142145;-7711.553002781035;-6869.361623449519;-7803.843355636997;-88924.0907340158;-72496.07264948757;-88342.40893631088;-177788.65877254712;
-8115.627839044076;-7912.919868578896;-7631.220833208661;-7440.068714626875;-56533.41788451885;-99397.53704041685;-44136.089877616156;-112176.14110423817;
-8189.880334124606;-8082.390795039034;-7296.771680923901;-6970.279749665231;-90151.31326333444;-70041.96286701714;-88820.24452927645;-176844.18581058813;
-7705.138052122361;-8119.405283857022;-7388.324426212839;-7490.203677440129;-55932.04419994882;-100194.44378548191;-44046.83936200612;-112393.22124638812;
-6523.490729748098;-7690.85528741542;-6849.557977862118;-7841.394286321913;-88871.98881769048;-72609.53010434272;-88323.38760177942;-177835.26215973642;
