Año;Mes;Dia; Hora
2020;09;27;20-11-53
CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-4;-2;-3;-2;0;-1;1;-1;
-2;-2;-1;0;-1;-1;-1;-9;
0;0;0;0;-1;-4;0;-2;
1;-1;-2;-1;-1;5;-2;-5;
-5;-3;-2;-1;-2;-1;-3;3;
3;-2;-2;-1;-1;-3;-3;-7;
-3;-2;-1;-3;-2;0;-1;-9;
0;-1;-3;0;1;-1;1;5;
-2;-1;-1;-2;-4;-4;0;-3;
-1;-1;1;-1;1;-1;-3;-6;
-17;-2;-1;-1;-3;-1;0;0;
-2;-1;-2;-1;-1;1;-1;-1;
1;-1;0;-1;-2;0;0;-2;
-1;-2;-1;-1;-1;-1;-1;-2;
2;-1;-2;-2;-1;0;-1;-20;
0;0;1;0;0;-2;-2;-2;
-3;-1;-2;1;-1;-1;-1;1;
0;-1;-2;-2;0;-1;-1;-4;
1;-1;0;-2;-1;-2;0;11;
-1;-1;-4;-3;1;0;-3;-3;
1;1;-1;-2;-2;-1;0;-6;
-1;-1;-3;-2;-3;-3;1;8;
4;-2;1;0;2;0;-2;5;
0;-1;0;-2;-1;-4;1;-2;
-2;-2;1;3;-1;-1;-2;1;
-7;-2;-4;-3;-3;-3;-1;-5;
7;-2;1;-1;-1;1;0;-1;
-5;-1;1;1;4;0;0;0;
-2;0;1;1;0;-1;-1;-5;
1;-1;-1;-2;-1;2;0;2;
-3;0;-1;-2;-3;-3;0;2;
1;-2;-2;0;1;-1;3;-1;
-1;-1;0;0;1;0;-2;-6;
3;-2;-1;-1;1;0;-1;4;
0;0;-1;-2;-2;0;-2;7;
3;-2;-2;0;-1;0;-1;21;
3;-1;-1;-1;0;-1;-2;-35;
-15;-4;-2;-3;-5;-4;-3;0;
-4;-1;1;1;1;-2;0;-4;
0;-1;-1;-2;-1;-1;-2;-3;
-1;0;0;1;0;2;-1;9;
4;-1;-3;-4;-3;-1;-3;3;
-1;-1;0;0;0;-2;0;-6;
-4;0;-2;-1;2;2;-2;-5;
-3;0;-1;-1;0;0;-1;3;
5;0;-1;2;1;1;-1;-5;
-3;-1;-1;-3;-4;-3;0;4;
1;-2;-1;-2;-2;-5;-2;-4;
0;-1;-2;0;-1;0;-1;4;
2;0;-1;1;1;0;0;2;
0;-1;-1;-2;-1;-5;-3;-5;
-1;-1;2;0;-2;0;1;-2;
-1;-1;-2;-3;-1;-2;-1;-1;
-1;0;0;0;-2;3;-1;3;
-4;-1;0;-2;-1;0;-4;-6;
3;0;-1;-2;-2;-1;0;11;
2;0;0;0;0;-1;2;18;
-5;-1;0;1;-3;-1;-3;-40;
-3;-1;0;-1;0;1;-2;-2;
-4;-3;0;-1;-3;-1;-3;0;
2;0;-3;-1;0;-2;0;-1;
-1;-1;-1;0;-1;0;-1;9;
-8;-2;-4;-4;-2;-2;-1;-4;
-3;-1;-1;2;0;1;-1;-3;
0;-1;1;-1;0;-3;0;-3;
-3;-1;0;-1;-2;-2;-1;7;
0;1;-1;-1;-1;-3;0;-6;
3;-3;-4;-3;-2;-1;-1;3;
6;-1;1;0;-1;0;-2;10;
-4;1;1;1;2;1;-1;-16;
3;-1;0;-1;-1;0;1;3;
-1;-1;0;-1;0;-1;0;1;
1;-1;-4;-2;0;0;1;-4;
3;-2;-2;-3;-3;0;-1;10;
-1;-1;0;0;-2;-1;-2;0;
-3;-1;-1;-1;-1;-1;-2;-6;
-2;-1;0;-1;-2;-1;0;-4;
-6;-1;-1;2;0;0;-2;18;
5;1;-3;2;0;-1;1;-4;
2;-4;-1;-3;-5;-3;1;6;
-4;0;-1;-1;-3;1;-1;-6;
-1;0;-2;-2;1;-1;1;9;
