CH1 ;CH2 ;CH3 ;CH4 ;CH5 ;CH6 ;CH7 ;CH8 ;
-2;0;-2;-4;-9;-8;-4;0;
-2;0;-2;-1;-10;-4;4;0;
-1;-1;1;-5;0;1;-3;0;
-2;0;-1;3;22;1;0;-1;
2;1;0;4;1;11;1;0;
0;0;-1;1;30;-3;-1;-1;
0;0;-2;-1;-8;7;0;0;
-2;-1;-1;-2;3;-8;-1;-1;
-1;-1;0;-6;-11;6;-1;-1;
-3;0;-2;-2;-10;-1;-3;0;
0;0;-1;1;13;-4;0;-1;
0;-2;-3;0;-1;-4;-1;0;
-1;0;2;3;-10;5;3;-1;
-3;-1;-2;-1;4;4;1;-1;
-1;-3;-3;-2;5;16;0;-1;
0;0;1;2;-8;-5;0;0;
-2;-3;-3;-5;-9;-5;-2;-2;
0;1;0;-4;-12;-2;-1;0;
0;0;0;-1;3;-8;-1;-2;
-2;0;-3;-3;-4;2;-1;-1;
0;-1;-1;-1;-3;4;-1;-1;
-1;-1;-1;-4;-28;-4;-2;-2;
-2;-3;-2;-3;-5;-5;0;-2;
0;0;-1;-3;4;17;-1;-1;
-1;0;-3;-2;-29;-5;-4;-1;
-1;-1;0;-2;-4;-9;-1;-2;
-1;-2;-2;1;-6;-1;-2;2;
-2;-1;-3;-1;21;-11;-2;0;
1;-2;0;4;7;21;1;0;
-1;1;-1;-7;-24;-14;-3;0;
0;1;2;1;5;-2;1;0;
-2;-4;-3;-6;-30;-10;-1;-1;
0;-1;-1;-3;-3;0;-1;-1;
0;0;1;4;1;-5;0;-1;
-2;-1;-3;-4;-6;1;-3;-2;
0;0;1;-1;13;-5;-1;0;
-1;0;-2;1;-6;-3;-2;-2;
-2;-1;-3;-1;-23;3;0;-1;
0;0;0;0;10;-2;-1;-2;
-1;-2;-2;-3;-15;3;-2;-1;
0;-1;0;-1;9;-4;1;-2;
-1;0;2;2;1;3;-2;1;
-1;1;0;3;16;-2;1;0;
-2;-1;1;-1;-3;4;-1;-2;
-1;-2;-4;-2;-4;5;0;-2;
-1;-2;-4;-5;-3;-6;-1;-1;
-1;-1;1;1;-7;2;1;0;
1;-2;-1;0;16;4;0;-1;
0;-2;0;-1;8;-15;-2;-1;
-1;-3;-4;-6;-7;1;0;-2;
-1;0;1;6;61;8;-1;-1;
0;0;0;-1;-29;-8;-1;-1;
-1;-1;0;1;15;6;-1;0;
-1;-1;-4;-4;-14;-3;-2;-2;
-3;-2;-3;-2;-1;-2;-2;-1;
-1;-1;-1;1;-5;3;2;-1;
-3;-1;0;-3;-7;0;-1;-1;
-1;-2;-2;-1;6;0;-1;-1;
0;0;-1;-1;-17;-5;0;-1;
-2;-1;0;0;14;-1;-2;1;
-2;-1;-1;-1;-9;-2;-2;-2;
-1;-2;0;-2;-13;2;0;1;
-1;0;-2;0;0;-4;-2;0;
-1;-2;-1;-2;-10;-5;-2;0;
0;2;-1;1;6;3;-1;-1;
-1;0;0;-2;-8;-1;0;0;
0;-2;0;-3;21;4;-1;-3;
1;2;-1;-1;-11;-10;-2;-1;
-1;-1;0;0;22;0;-2;-1;
-1;-2;-1;-1;-12;-5;-2;-1;
-2;-1;-1;-1;-1;-1;0;1;
-1;-2;-1;-1;1;4;0;-2;
0;-2;-1;-5;-16;-4;-2;-2;
-1;1;2;11;30;8;3;1;
-2;0;-1;-2;-24;-13;0;0;
0;-1;-1;-2;6;23;0;0;
-1;-1;-1;-4;-9;5;1;-3;
-1;-1;-2;-6;-10;-9;-4;-2;
-1;-3;-2;1;7;5;0;-2;
-2;-1;-1;-1;-12;-8;-1;-2;
-2;-2;-2;-2;-2;-4;-1;-1;
0;-2;-3;-5;-9;7;0;0;
0;-1;0;2;13;2;0;0;
0;-3;-1;-3;-10;-17;-4;-1;
-1;-1;-1;-1;0;-7;-1;-3;
-1;-2;-2;-5;-13;-2;-1;-2;
-1;-3;0;-3;-11;-3;0;0;
0;0;-1;2;1;1;0;-1;
0;0;0;-4;-3;1;0;-1;
-1;0;-2;0;-4;-2;-2;-1;
1;-1;0;-1;0;2;0;-1;
-3;-1;-2;0;4;-5;-1;0;
-3;-3;-4;-4;4;-6;-2;-1;
-1;-2;1;-3;6;3;-3;0;
-1;1;2;3;17;-6;2;1;
2;-1;0;1;19;4;2;1;
-1;-2;0;6;-2;3;0;-3;
-2;-1;-4;-4;-2;2;-1;-2;
-1;-2;-4;-5;-8;-5;-2;0;
-2;-1;-2;-1;1;0;-2;-2;
-1;0;-1;-1;-5;-1;-1;-2;
1;0;1;2;-9;-11;-2;-2;
-2;-1;-3;-1;8;3;-1;-2;
-1;-1;-3;-3;2;-3;-1;-1;
0;-1;-3;-4;-20;-1;-1;0;
-1;-1;0;1;-2;0;0;-1;
1;1;-1;-2;-18;0;-2;-1;
0;-1;-1;1;34;-2;-2;1;
0;-1;0;-2;-15;4;1;-1;
-1;0;-1;-2;0;-1;-1;1;
-2;-1;-3;0;19;-4;-2;-2;
-1;-3;-2;-1;-18;-1;-1;1;
-1;0;-1;-2;0;0;0;-1;
-2;-2;-1;-4;-18;-8;-2;-1;
-1;0;1;4;33;22;3;0;
0;-2;-1;0;22;17;-2;0;
-1;0;-2;1;-10;5;0;0;
-1;-2;-3;-8;-38;-14;-2;-3;
-2;-1;1;9;65;8;-1;0;
-1;-2;0;0;-11;-4;1;0;
-2;-2;-3;-2;3;-4;-1;-3;
-2;0;0;-3;-3;5;-1;-2;
-1;1;-1;-4;-27;-10;-1;-1;
-1;-1;0;-1;-11;-7;-3;0;
1;0;0;4;14;4;1;2;
-2;-2;-1;-3;-4;-9;-3;-2;
-1;-3;-2;-3;-8;-17;-3;-3;
0;0;-2;0;-4;40;3;-1;
-2;-1;0;-2;10;1;1;1;
1;-2;-2;1;-6;-10;-3;-2;
0;-1;-1;-1;-27;-3;-3;-2;
-2;-2;-2;2;49;-10;-1;-1;
0;-3;-1;-4;-16;2;-2;-2;
-1;-1;0;1;-3;6;1;0;
-2;-1;2;2;14;-4;0;-1;
1;0;-1;-5;-36;-17;-3;-1;
-1;0;1;1;18;13;-1;-1;
-1;0;-1;-1;7;-17;-2;0;
-1;0;-1;0;-34;-1;0;0;
-2;-3;-1;-2;35;1;-2;-1;
-1;-1;-1;2;-19;-14;1;-3;
-1;-1;-2;-4;-3;31;-1;0;
-3;-2;0;1;-7;-12;-1;0;
-1;-2;-3;-2;-9;0;-1;-3;
-1;-2;0;3;13;-10;0;0;
0;-2;-2;-4;-3;6;-2;-2;
-2;-1;-1;-1;-9;-6;-3;-2;
-1;0;-1;-1;-13;-6;-1;0;
1;0;-1;2;9;-7;-1;1;
-1;-1;-1;-3;1;6;0;1;
-1;-2;-3;-5;-28;-10;-1;-2;
0;0;2;1;45;4;1;-2;
0;1;0;3;-12;-3;0;0;
-2;-2;-1;-1;9;-1;-1;-2;
0;1;-1;-2;-24;-4;0;0;
-1;-2;-2;-2;-14;-3;-2;0;
-1;-3;-3;-1;25;5;0;-1;
-1;-1;0;0;-7;-13;0;0;
0;-1;-3;-3;0;21;0;-1;
1;0;0;-1;-22;-8;-1;1;
-1;-2;-1;2;18;-9;-1;-1;
-1;-2;-3;-1;-6;10;0;-2;
1;-1;-1;-3;-7;-11;-3;-2;
-2;-2;-2;-2;-2;6;-1;-1;
0;0;1;5;26;-1;0;-1;
-1;0;1;5;-1;2;1;0;
-1;-2;-2;-2;3;-2;-2;-3;
-2;-2;-3;-3;3;-1;-1;-2;
-1;0;-1;-5;-25;5;-1;-2;
-1;1;0;-1;-7;-17;-3;-2;
1;1;1;2;7;-1;0;-2;
-1;0;0;2;-9;3;0;1;
-2;-1;-1;0;17;7;1;-1;
-1;-2;-2;-2;-12;-14;-2;-1;
-1;-1;-1;-1;3;2;-1;-3;
-1;-1;0;-2;-2;-4;-1;-1;
-1;-1;-3;-2;3;1;-2;-3;
-1;0;1;3;-28;-11;-1;1;
-1;-2;-2;-1;34;-14;-2;-1;
-1;-2;0;-2;-3;15;1;-3;
-1;-2;0;-3;14;-4;-1;0;
-1;-3;-4;-3;-1;-2;-2;-1;
1;1;0;0;-10;-1;-1;-1;
-1;-1;-3;-3;-23;-12;-2;-3;
-1;-2;0;0;1;8;-1;-1;
-2;-2;-2;-1;21;5;0;-2;
-1;0;-2;1;-10;3;1;0;
-1;-1;-2;-7;6;-4;-1;-2;
-1;-1;-1;-1;-27;-10;-1;0;
0;0;0;1;31;18;-1;0;
0;-2;-1;0;-5;6;-1;-1;
-1;-2;-3;-1;1;1;-2;-1;
-2;0;-3;-4;-22;-10;-2;-1;
-1;0;1;2;-16;4;1;-1;
-2;0;-1;-4;12;2;-1;-2;
0;-3;-2;-4;1;-4;-1;-2;
0;-2;1;2;13;16;-1;-1;
-1;-3;-1;-3;2;-10;0;-2;
0;0;-1;0;-13;-8;-2;-2;
-3;-2;-2;-2;9;1;-3;-2;
-1;-1;-1;-1;3;2;-1;-3;
-1;-1;0;-2;-2;-4;-1;-1;
-1;-1;-3;-2;3;1;-2;-3;
-1;0;1;3;-28;-11;-1;1;
-1;-2;-2;-1;34;-14;-2;-1;
-1;-2;0;-2;-3;15;1;-3;
-1;-2;0;-3;14;-4;-1;0;
-1;-3;-4;-3;-1;-2;-2;-1;
1;1;0;0;-10;-1;-1;-1;
-1;-1;-3;-3;-23;-12;-2;-3;
-1;-2;0;0;1;8;-1;-1;
-2;-2;-2;-1;21;5;0;-2;
-1;0;-2;1;-10;3;1;0;
-1;-1;-2;-7;6;-4;-1;-2;
-1;-1;-1;-1;-27;-10;-1;0;
0;0;0;1;31;18;-1;0;
0;-2;-1;0;-5;6;-1;-1;
-1;-2;-3;-1;1;1;-2;-1;
-2;0;-3;-4;-22;-10;-2;-1;
-1;0;1;2;-16;4;1;-1;
-2;0;-1;-4;12;2;-1;-2;
0;-3;-2;-4;1;-4;-1;-2;
0;-2;1;2;13;16;-1;-1;
-1;-3;-1;-3;2;-10;0;-2;
0;0;-1;0;-13;-8;-2;-2;
-3;-2;-2;-2;9;1;-3;-2;
-2;0;0;1;27;16;-1;0;
-1;-1;-1;-1;-1;-4;0;-3;
-2;0;-1;-1;-31;-10;-3;-2;
-1;-2;0;-2;11;-6;1;0;
-2;2;-1;0;-7;-5;0;-1;
-3;-2;-1;-1;3;3;0;0;
-1;-1;0;-2;-9;0;-1;0;
0;1;-1;-1;-10;4;-1;-1;
-2;-3;-2;-3;-5;-10;-2;0;
-3;-1;-1;-3;-13;-2;-3;-1;
0;0;2;3;14;-5;2;0;
-2;-3;-3;-4;-11;1;-2;-2;
2;0;-1;3;26;2;2;0;
-1;-1;-2;-1;-11;5;0;-1;
-1;-2;-1;-3;-4;-26;-1;0;
-3;-2;-1;-1;13;7;0;0;
-2;-1;-1;-3;-23;14;-3;-1;
0;-1;0;-1;-20;0;-1;0;
0;1;-1;2;24;6;-1;-1;
1;0;-1;-1;-6;-12;-2;-1;
-2;-1;-2;-3;-7;-6;-3;-3;
0;-3;-1;0;5;1;-1;0;
-1;-2;-3;-3;-4;5;-1;0;
-2;-1;-1;-1;7;3;0;-2;
1;-1;0;3;-9;-2;0;0;
-1;-1;-1;-3;-10;-1;-2;0;
0;-1;0;2;35;4;-2;-2;
-2;-1;-2;-5;-11;-12;0;-3;
0;0;-1;0;9;2;-1;1;
-1;-1;0;-3;-11;5;-1;-1;
-1;-2;-1;-1;13;0;-1;-1;
-2;-1;-2;-1;-7;-6;-1;0;
0;-2;-1;0;6;3;0;-1;
-2;1;-3;-2;-26;-27;-3;-3;
1;0;1;3;-15;21;3;0;
0;0;-3;0;27;10;0;-3;
0;0;1;-1;13;3;1;-2;
-1;-1;-2;-4;-14;-5;-1;-1;
0;-1;-2;-5;-13;-11;-1;-1;
-2;-4;-1;-3;-26;-7;-1;-1;
-1;-1;-2;2;38;-1;1;-1;
-2;-2;-3;-1;5;13;-2;-1;
-1;1;2;2;11;-7;0;0;
-2;0;0;0;-10;2;0;0;
-1;-2;-3;-2;-7;-4;-4;-2;
-1;-1;0;0;-19;11;3;-1;
-1;-1;0;2;21;-3;-4;-2;
1;-2;-2;-3;-29;-9;0;0;
-1;-2;0;4;25;-2;2;0;
0;-1;-2;-3;-9;4;-1;-1;
-1;-2;-4;-3;-7;3;-1;-1;
-1;1;-1;1;19;-4;-2;0;
-1;0;1;-4;-19;-32;-3;0;
0;0;0;0;-3;24;-1;-1;
-2;-1;-2;-1;-24;-14;-1;0;
-2;-1;-1;-2;4;-6;-2;-1;
-1;0;-1;0;-4;-2;-1;-1;
-3;0;-1;-2;-13;-8;-2;-2;
-2;-1;-1;-5;-21;-2;0;-1;
0;0;-1;2;44;12;0;0;
-2;0;0;-1;-2;-1;-1;0;
0;-1;-2;-2;-7;5;-3;-1;
0;-2;-1;-1;-2;-7;-2;-1;
-2;-2;-1;-2;-10;14;-1;-2;
-1;-2;-1;-3;-2;-18;-1;-1;
-1;-1;-1;-3;-15;-5;-1;0;
-1;0;0;-1;-19;-5;-4;1;
-1;-1;-1;1;21;-6;0;-1;
0;-1;0;2;30;26;0;-1;
-1;-1;-3;-1;-2;-10;-2;-3;
-2;-1;-3;-5;-13;-3;0;-2;
-1;1;0;3;-26;7;1;-2;
-1;-2;0;3;-7;-19;-3;0;
-2;-2;-2;-2;15;3;-1;-1;
-2;-1;-1;-2;-5;8;-1;0;
-1;0;-1;-5;-11;-4;-3;-2;
-2;0;-2;1;1;-1;-1;0;
-1;-2;-3;-5;-14;2;0;-2;
0;-1;0;2;48;-2;0;-1;
-2;-2;-2;-2;-23;-1;-1;-1;
0;-1;-1;-3;-6;-1;0;0;
-2;-1;1;-1;-2;3;-1;-2;
-1;-2;-1;4;4;1;-2;-2;
-2;-1;-2;-3;-1;9;1;-1;
1;0;-1;-1;7;-15;-3;1;
-1;-2;-2;-1;-7;-19;-3;-3;
-1;-1;-2;-5;-50;11;-2;0;
-3;-1;-4;1;66;-6;-2;0;
-1;1;-2;-2;-1;-2;-2;0;
-1;-1;0;1;-6;-3;1;0;
-2;-3;-2;-5;-21;-7;-3;-2;
1;0;0;-2;1;9;0;-1;
0;-1;-1;3;25;2;0;-2;
0;-1;-2;-2;13;7;0;-1;
0;0;0;2;-28;-11;1;2;
0;-2;0;0;-13;5;2;-2;
-3;-3;-2;-2;10;0;-1;0;
-2;-1;0;-3;-2;-5;-3;-1;
-2;-1;0;-1;15;4;1;-3;
-2;0;-2;-2;-12;0;-1;-2;
-1;0;-1;-3;-6;-13;-2;1;
-2;0;-2;-1;-9;5;1;-1;
0;-2;0;3;61;20;1;-1;
-1;-2;-2;0;-14;-2;-3;-2;
-1;-2;-1;-3;-12;-12;1;-1;
0;-1;-1;-4;-10;1;0;0;
-2;-1;-2;-4;-11;-11;-4;-1;
-2;-2;-1;1;3;1;1;0;
-1;0;0;1;6;30;2;-1;
-3;0;0;3;17;-12;-3;0;
-2;0;-2;-4;-3;-7;-1;-1;
-2;0;1;-1;-17;-1;0;-1;
0;-1;-1;-1;5;4;1;-1;
-1;-2;-3;-1;2;-2;-2;0;
-3;-1;-3;-4;-11;2;-1;-5;
0;-1;-1;-1;15;-7;-2;-2;
-1;-1;0;5;29;13;0;-1;
-1;-1;-1;-2;-5;-9;-2;-1;
-1;0;-1;-1;-11;-7;-2;0;
-2;-1;-3;-4;0;-4;-2;-3;
-2;-1;-1;-1;10;5;0;-1;
-2;-1;1;3;-2;-16;-1;-1;
-1;-2;-1;0;2;-3;-1;-1;
-3;-2;-2;-3;-7;1;-2;-2;
1;0;-1;-4;-33;14;0;-1;
-2;-1;-1;4;40;13;2;-1;
1;0;0;2;-13;-6;-1;0;
-1;0;-1;0;-4;0;-1;-1;
-2;0;-2;-3;-11;-17;-3;-3;
1;-2;0;-1;-8;6;0;0;
-1;-1;-1;-2;1;-15;-2;-3;
